Genome Cleaner Report
Generated: 2025-11-28T07:17:11.843819

SUMMARY
Total Sequences,9
Valid Sequences,5
Invalid Sequences,4
Sanitized Sequences,9
Duplicate Headers,2
Validity Percentage,55.55555555555556
Sanitization Rate,100.0

SEQUENCE LENGTH STATISTICS
Min,4
Max,48
Mean,36.77777777777778
Median,44
Total,331
Count,9
Quartiles:
  q1,36
  q2,44
  q3,44

GC CONTENT STATISTICS
Min,0.0
Max,100.0
Mean,50.0
Median,50.0
Count,9

TOP 10 LONGEST SEQUENCES
Rank,Header,Length,GC Content
1,sequence_with_mixed_case,48,50.00%
2,valid_sequence_1,44,50.00%
3,duplicate_header,44,50.00%
4,duplicate_header,44,0.00%
5,high_gc_content,44,100.00%
6,sequence_with_invalid_chars,43,50.00%
7,sequence_with_spaces,36,50.00%
8,sequence_with_tabs_and_newlines,24,50.00%
9,very_short_sequence,4,50.00%

ERROR ANALYSIS
Total Errors,4
Most Common Error,Duplicate header
Most Common Count,2
